time,leftArm_upperArmRotation_x,leftArm_upperArmRotation_y,leftArm_upperArmRotation_z,leftArm_lowerArmRotation_x,leftArm_lowerArmRotation_y,leftArm_lowerArmRotation_z,leftArm_handRotation_x,leftArm_handRotation_y,leftArm_handRotation_z,rightArm_upperArmRotation_x,rightArm_upperArmRotation_y,rightArm_upperArmRotation_z,rightArm_lowerArmRotation_x,rightArm_lowerArmRotation_y,rightArm_lowerArmRotation_z,rightArm_handRotation_x,rightArm_handRotation_y,rightArm_handRotation_z
1.529172,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.536225,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.543187,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.550178,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.557062,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.563594,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.570274,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.577334,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.584286,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.591946,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.598888,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.605835,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.612432,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.61963,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.626576,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.633615,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.640408,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.64794,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.654987,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.661856,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.668386,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.67542,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.681927,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.68849,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.695725,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.703043,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.709549,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
1.716578,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50855,316.8435,12.77125,294.1934,66.66043,270,270,0
1.722694,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.5085,316.8435,12.77127,294.1934,66.66045,270,270,0
1.730449,301.9823,282.4915,43.15641,12.77126,65.80667,293.3396,270,90.00001,0,301.9822,77.50851,316.8435,12.77127,294.1933,66.66043,270,270,0
